Feature,Importance
lactate,5.2531785e-05
c-reactive_protein,4.2573767e-05
bilirubin,3.9476225e-05
age,3.6560756e-05
respiratory_minute_volume,3.0010959e-05
quick_score,2.830306e-05
aspartate_transaminase,2.4515055e-05
calcium,2.3929204e-05
stroke_volume,1.9620313e-05
delta-temperature,1.7898155e-05
creatinine,1.7897619e-05
partial_co2,1.7510187e-05
sodium,1.6797432e-05
blood_urea_nitrogen,1.6412992e-05
leukocytes,1.5573749e-05
svri,1.4819886e-05
fraction_of_inspired_o2,1.4538959e-05
partial_pressure_art._o2,1.4350938e-05
base_excess,1.3229704e-05
procalcitonin,1.2884853e-05
oxygen_saturation,1.2486001e-05
net balance,1.0966987e-05
systolic_bp,1.0837115e-05
bun/creatinine_ratio,1.0203489e-05
bicarbonate,9.953239e-06
arterial_ph,9.424162e-06
potassium,9.072565e-06
hemoglobin,7.720494e-06
lymphocytes,7.6009974e-06
pancreatic_lipase,6.0552366e-06
heart_time_volume,6.0166585e-06
respiratory_rate,5.612573e-06
alanine_transaminase,5.609379e-06
chloride,5.186784e-06
horowitz_index,4.8842808e-06
blood_glucose,4.2337683e-06
diastolic_bp,3.888182e-06
urine_output,3.87863e-06
heart_rate,3.5517983e-06
thrombocytes,3.4094032e-06
temperature,3.1361992e-06
mixed_venous_oxygen_saturation,2.8471486e-06
mean_bp,2.3069017e-06
timestep,6.2681113e-07
